question,answer,question_type
Commonwealth Games are held in every _ years,4 years,kid
How many Grand Slam Tennis Tournaments are held every year?,4,kid
"In which sports, the term HAT-TRICK is used?",Cricket,kid
Number of players in one team of Kho Kho are,Nine,kid
Eden Gardens cricket stadium is in –,Calcutta,kid
Which country will host Cricket World Cup 2019 –,England,kid
Football was introduced as a competitive game in Olympics in year –,1908,kid
Hockey is the National sports of –,India and Pakistan,kid
Which is the National sport of Canada?,Lacrosse/Ice hockey,kid
_ has Cricket as its National S,Jamaica,kid
_ is the national sport of Turkey,Wrestling,kid
In which country Commonwealth games were held in 2010?,India,kid
Which country has hosted Commonwealth Games for the maximum number of times?,Canada,kid
Caddie is related to __________,Golf,kid
In which year Olympic Games were cancelled because of World War I?,1916,kid
Who was the winner of Football World Cup in 2010?,Spain,kid
Where did the game of Badminton originate from?,Pune,kid
When is national sports day of India celebrated?,22-Aug,kid
When was women’s and men’s doubles introduced in Wimbledon?,1884,kid
Who among the following is known as “Flying Sikh of India”,Milkha Singh,kid
Total Olympic medals won by India in 2012,Six,kid
The only driver in Indian Grand Prix 2011 is,Alice Powell,kid
How many months are there in a year?,12,class_1
How many days are there in a week?,7,class_1
How many days are there in a year?,365,class_1
Which number comes after 15?,16,class_1
How many colours are there in a rainbow?,7,class_1
We use our ears to ______.,Hear,class_1
Name the day that comes after Tuesday?,Wednesday,class_1
How many vowels are there in the English alphabet?,5,class_1
A cow has ____ legs.,4,class_1
Which gas do humans need to breathe to live?,Oxygen,class_1
Which month comes after October?,November,class_1
How many zeroes are there in one thousand?,Three,class_1
How many hands do you have?,2,class_1
We chew food using our ____________.,Teeth,class_1
Which sense organ do you use to smell?,Nose,class_1
Which part of the plant is brown and below the ground?,Roots,class_1
Which part of a plant has seeds?,Fruit,class_1
Which part of a plant soaks up nutrients and water from the soil?,Root,class_1
Which bird has a far sight and turns its head all the way round?,Owl,class_1
Which animal eats mice?,20,class_1
Which animal wags its tail and lives in a kennel?,Dog,class_1
Which animal has a long nose known as trunk?,Elephant,class_1
Which animal likes honey?,Bear,class_1
Name a cunning animal?,Fox,class_1
Which animal has a long neck?,Giraffe,class_1
Which animal has black and white stripes on its body?,Zebra,class_1
Which animal gives us wool?,Sheep,class_1
February has _____ days in a leap year.,29,class_1
Which is the largest river island in Asia?,Majuli Island (Assam),class_1
Which shape has three sides?,Triangle,class_1
How many weeks are there in a year?,52 Week,class_1
There are ____ months in a year.,12,class_1
Name the shape with five sides?,Pentagon,class_1
Home of a pig is called ______.,Sty,class_1
Name the largest island in the world?,Greenland,class_1
Which is the largest mammal on Earth?,Blue Whale,class_1
What is the name of the story where Ella leaves her glass slipper while attending the royal ball?,Cinderella,class_1
Which fairy tale character meets seven dwarfs in a cottage?,Snow White,class_1
Name the fairy tale character with long golden hair trapped in a tower?,Rapunzel,class_1
"Name the fairy tale character, who is a poor thief and has a magic lamp?",Aladdin,class_1
Which fairy tale character meets a Big Bad wolf while going to visit her grandmother in the woods?,Little Red Riding Hood,class_1
"Name the story in which a young girl falls through a rabbit hole, goes to a fantasy world and meets many strange characters?",Alice’s Adventures in Wonderland,class_1
Name the shape with seven sides?,Heptagon,class_1
Planet Earth is shaped like a __________.,Sphere,class_1
A shape with six sides is called ________.,Hexagon,class_1
A shape with ten sides is called ________.,Decagon,class_1
How many sides does an octagon have?,8,class_1
What is the color of human blood?,Red,class_1
Which colour symbolizes peace?,White,class_1
In which season do we use cotton clothes?,Summer,class_1
The colour of cow’s milk is ________.,White,class_1
What comes after 35?,36,class_1
The tusks of elephants are made of ______.,Ivory,class_1
Kangaroos have _____ to carry their young ones.,Pouches,class_1
Cheese is made from _______.,Milk,class_1
Taste of sugar is _______.,Sweet,class_1
Taste of tamarind is _______.,Sour,class_1
We wear a watch on our _______.,Wrist,class_1
What is 10+4?,14,class_1
A goat has ______ legs.,4,class_1
Earth has ____ natural satellite(s).,1,class_1
The leaves of a tree fall during which season?,Autumn,class_1
A person who goes to space is called an ________.,Astronaut,class_1
A young frog is called a _______.,Tadpole,class_1
Which colour of the traffic light indicates “wait”?,Yellow,class_1
Which is the first letter of the English alphabet?,A,class_1
Whom do we call to put out fire?,Fireman,class_1
Name the vehicle used by firemen?,Fire engine,class_1
Orange is a source of which vitamin?,Vitamin C,class_1
Humans have _____ toes.,Ten,class_1
A hen lives in a _____.,Coop,class_1
Your father’s brother is your _________.,Uncle,class_1
Which insect makes a web?,Spider,class_1
Which magic word do you use while asking for something?,Please,class_1
Which magic word do you use when someone helps you?,Thank you,class_1
Which of these is a green-colored vegetable?,C. Pea ,class_1
What is the Color of the Leaves?,B. Green,class_1
Identify the Tree,A. Coconut Tree,class_1
Who is the king of the jungle?,B. Lion,class_1
Which part of your body do you use to see?,D. Eyes,class_1
How many fingers are there in your hands?,D. Ten,class_1
Which of the following animals give us milk?,A. Cow,class_1
What is the color of sunflowers?,B. Yellow,class_1
Which animal is known as “Ship of Desert”?,C. Camel,class_1
How many legs do you have?,Two,class_1
Which animal guards our house?,Dog,class_1
Identify the bird,Peacock,class_1
What is the color of your hair?,Black,class_1
How many wheels does a cycle have?,Two,class_1
Name the four main directions?,"North, East, West, and South",class_1
What food does a cow eat?,Grass,class_1
Which number comes after 10?,11,class_1
Which means of transport do you use in water?,Ship,class_1
How many alphabets are there in the English language?,26,class_1
Where do you go when you are sick?,Hospital,class_1
A person who teaches us is known as___________?,Teacher,class_1
Name the vowels in English.,"A,E,I,O,U",class_1
How many sense organs do we have?,Five,class_1
What is the color of the sky?,Blue,class_1
What sound does a dog make?,Bow-Bow,class_1
Name the shape with three sides?,Triangle,class_2
What is the smallest two digit number?,10,class_2
Which shape has no sides and corners?,Circle,class_2
Which shape has all four of its sides equal?,Square,class_2
What is the largest two digit number?,99,class_2
What is the smallest even number?,2,class_2
What is the place value of 4 in 654?,Ones,class_2
4 times 8 equals ___________.,32,class_2
40+20 equals to ____________.,60,class_2
An adult human has _________ teeth.,32,class_2
Which animal gives us wool?,Sheep,class_2
What do we get when water freezes?,Ice,class_2
What is a house made of snow called?,Igloo,class_2
What kind of clothes do we wear during winter?,Woollen clothes,class_2
What are the white lines where we cross the road called?,Zebra Crossing,class_2
A lion lives in a ______.,Den,class_2
Sun rises in the ________.,East,class_2
Sun sets in the _________.,West,class_2
What does the red light of a traffic signal indicate?,20,class_2
What does green light of a traffic signal indicate?,Go,class_2
India has _____ states.,28,class_2
What does a caterpillar turn into?,Butterfly,class_2
Which Indian city is known as “Pink City”?,Jaipur,class_2
Which is the largest cat in the world?,Siberian tiger,class_2
Which animal is known as the “ship of the desert”?,Camel,class_2
Which planet do we live on?,Earth,class_2
How many players are there in a cricket team?,11,class_2
The doctor who takes care of our teeth is called ________.,Dentist,class_2
Name the bird that lays the largest eggs?,Ostrich,class_2
Our solar system has ______ planets.,8,class_2
Name the currency of Thailand?,Bhat,class_2
What is the sound made by a lion?,Roar,class_2
What is the young one of an elephant called?,Calf,class_2
A pig lives in a _____.,Sty,class_2
A year has ___ weeks.,52,class_2
How many kidneys does a human body have?,2,class_2
How many strings does a violin have?,4,class_2
A century has ____ years.,100,class_2
How many moons does Earth have?,1,class_2
Saturn has ____ moons.,82,class_2
How many colours are there in a rainbow?,7,class_2
In which country can kangaroos be found?,Australia,class_2
Name the planet in our solar system with the most number of moons?,Saturn,class_2
Earth’s atmosphere has ____ layers.,5,class_2
What are the colours of Olympic rings?,"Blue, Red, Green, Yellow and Black",class_2
A spider has _____ legs.,Eight,class_2
Which is the smallest continent in the world?,Australia,class_2
How many days are there in a year?,365,class_2
Which month has the least number of days?,February,class_2
Which part of a plant grows under the soil?,Root,class_2
What is the currency of UK?,Pound Sterling,class_2
What is the currency of Bangladesh?,Taka,class_2
What is the currency of Pakistan?,Rupee,class_2
What is the currency of China?,Yuan,class_2
What is the currency of New Zealand?,Dollar,class_2
What is the currency of Russia?,Ruble,class_2
Tokyo is the capital of which country?,Japan,class_2
What was the real name of Lord Buddha?,Siddhartha Gautama,class_2
Oscar award is related to which field?,Film industry,class_2
How many minutes are there in an hour?,60,class_2
A triangle with all three sides equal is called _______.,Equilateral triangle,class_2
What is the capital of Philippines?,Manila,class_2
What do you call a person who makes furniture from wood?,Carpenter,class_2
Which country is known as “Gift of Nile”?,Egypt,class_2
How many years make a decade?,10,class_2
Which part of a plant is called “kitchen of the plant”?,Leaf,class_2
We smell using our _____.,Nose,class_2
Who painted Mona Lisa?,Leonardo Da Vinci,class_2
We use our ears to _______.,Hear,class_2
English alphabets have ____ consonants.,21,class_2
What is the shape of a cricket field?,Circle,class_2
How many members are there in a Water Polo team?,7,class_2
The word “Grand Slam” is associated with which sport?,Tennis,class_2
What is a group of porcupines called?,Prickle,class_2
Name a bird that can fly backwards?,Humming bird,class_2
 Who was the first Prime Minister of India?,Jawaharlal Nehru,class_2
 Which state is known as the ‘fruit bowl’ of India?,Himachal Pradesh,class_2
 What is the name of this beautiful monument?,Taj Mahal,class_2
 How many legs does a spider have?, Eight,class_2
 Name this famous Indian Cricketer.,Sachin Tendulkar,class_2
 Who is popularly known as the “Iron Man of India”?,Sardar Vallabh Bhai Patel ,class_2
 What is the sound made by a duck?,Quack quack,class_2
 The national currency of India is,Rupee,class_2
 The young one of a kangaroo is,Joey,class_2
 What is the sound made by a horse?,Neigh,class_2
 The young one of Elephant is,Calf,class_2
 Which river is infamous as the ‘Sorrow of Bengal”?,Damodar River,class_2
 _ is celebrated as the birth of Jesus Christ,Christmas,class_2
 Which is the harvest festival in Assam?,Bohag Bihu ,class_2
 Thiruvananthapuram is the capital of _.,Kerala,class_2
 Which is the national sport of India?,Hockey,class_2
 What does the heart pump?,Blood,class_2
 The longest river in India,Ganga,class_2
 Which is the national fruit of India?,Mango,class_2
 How many spokes does the wheel in Indian Flag have?,24 spokes,class_2
 Who is the first citizen of India?,President of India,class_2
 Where does a pig live?,Sty,class_2
 What is the name of this famous painting?,Mona Lisa,class_2
 How many cats can you see in this picture?,10 cats,class_2
 How do you relate to your maternal grandfather?,Mother’s father,class_2
A polygon with 5 sides is called a _________.,Pentagon,class_3
What is the young one of a kangaroo called?,Joey,class_3
What is the name of India’s highest mountain peak?,Kanchenjunga,class_3
The capital of Andaman & Nicobar Islands is ______.,Port Blair,class_3
"Which is the largest country in the world, in terms of area?",Russia,class_3
The two holes on the nose through which we breathe are called _________.,Nostrils,class_3
"In which country did the game, chess, originate?",India,class_3
The wheel in the center of Indian national flag has _____ spokes.,24,class_3
Who is the author of Harry Potter series of books?,J.K. Rowling,class_3
Who was known as “Human Computer”?,Shakuntala Devi,class_3
Name the instrument used to measure the speed of wind?,Anemometer,class_3
Name the smallest planet in our solar system?,Mercury,class_3
Any number multiplied by zero is ________.,Zero,class_3
Which is the largest four-digit number?,9999,class_3
Ganymede is the moon of which planet?,Jupiter,class_3
Who was the first person to land on the moon?,Jupiter,class_3
Who invented steam engine?,James Watt,class_3
Who was the first person to calculate the value of Pi?,Archimedes,class_3
In which country is Mount Everest situated?,Nepal,class_3
Which is the biggest coral reef in the world?,Great Barrier Reef,class_3
World’s largest rain forest is _________.,The Amazon,class_3
Which is the biggest part of the brain?,Cerebrum,class_3
_________ animals sleep during the day and stay awake at night.,Nocturnal animals,class_3
Animals that eat meat are called _________.,Carnivores,class_3
Name an insectivorous plant?,Venus Flytrap,class_3
A newborn baby has _______ bones.,300,class_3
How many millimeters make a meter?.,1000,class_3
How many millimeters make a meter?.,1000,class_3
What is an angle that has a value less than 90˚ called?,Acute angle,class_3
What is an angle that has a value greater than 90˚ called?,Obtuse angle,class_3
"When a number is multiplied by 1, the product would be ________.",The Same Number,class_3
What is the art of folding paper to create shapes called?,Origami,class_3
The flag of which country has a non-quadrilateral shape?,Nepal,class_3
The place where beehives of honeybees are kept is called?,Apiary,class_3
Which is the fastest land animal?,Cheetah,class_3
Which animal has a hump on its back?,Camel,class_3
Name a commonly found reptile?,Lizard,class_3
Which is the largest ocean in the world?,Pacific Ocean,class_3
Australia lies between which two oceans?,Indian Ocean and Pacific Ocean,class_3
Which is the coldest planet in our solar system?,Neptune,class_3
Where is food collected in the human body once it is chewed and swallowed?,Stomach,class_3
Which pigment is responsible for the green colour of leaves?,Stomach,class_3
Which Indian city is known as “Orange City”?,Nagpur,class_3
Which city is known as the “Financial Capital of India”?,Mumbai,class_3
Which country won the first T20 world cup?,India,class_3
Which planet in our solar system takes less than 10 hours to complete its one rotation?,Jupiter,class_3
Which planet is known as the “blue planet”?,Earth,class_3
Which star is closest to the Earth?,The Sun,class_3
Which is the most abundant gas found on Earth?,Nitrogen,class_3
The mixture consisting of molten rocks that flow out of a volcano during the volcanic eruption is called ________.,Lava,class_3
Earth requires ____ hours to complete one rotation.,24,class_3
What is the movement of Earth on its own axis resulting in day and night called?,Rotation,class_3
What is the movement of Earth around the Sun resulting in change of seasons called?,Revolution,class_3
The Earth is closest to the Sun during which season?,Summer,class_3
Name the galaxy our solar system is a part of?,Milky Way,class_3
Who invented video games?,Ralph Baer,class_3
Who invented postage stamp?,Rowland Hill,class_3
Which is the tallest animal in the world?,Giraffe,class_3
Which is the fastest bird in the world?,Ostrich,class_3
Which is the highest waterfall in the world?,Angel Falls,class_3
Who wrote the world famous children’s book—Jungle Book?,Rudyard Kipling,class_3
Who wrote the book “Chronicles of Narnia”?,C.S. Lewis,class_3
The book “Charlie and the Chocolate Factory” was written by _______.,Roald Dahl,class_3
Who wrote the popular children’s book “The Cat in The Hat”?,Dr. Suess,class_3
The book “The Very Hungry Caterpillar” was written by _________.,Eric Carle,class_3
How many years did the First World War (WWI) last?,Four (1914-1918),class_3
How many years did the Second World War (WWII) last?,Six (1939-1945),class_3
Distance between two countries is measured in __________.,Kilometers,class_3
In which country is the Eiffel Tower located?,France,class_3
Which number is neither prime nor composite?,1,class_3
5 times 20 equals to ______.,1000,class_3
How many months of a year have only 30 days?,"4 (April, June, September and November)",class_3
An octopus has _____ hearts.,Three,class_3
The Statue of Liberty is located in which city?,"New York, USA",class_3
Sunlight is the source of which vitamin?,Vitamin D,class_3
How many teeth does a human have?,32,class_3
On which planet do we live?,Earth,class_3
How many continents do we have?,Seven,class_3
What is the process in which plants make food known as?,Photosynthesis,class_3
How many bones do we have?,206,class_3
Name the biggest flower.,Rafflesia,class_3
The animals that eat only plants and herbs are called ____________.,Herbivores,class_3
Which country is known as the “Land of White Elephants”?,Thailand,class_3
Which is the biggest planet in our Solar System?,Jupiter,class_3
Who is the first woman to go to space?,Valentina Tereshkova,class_3
Identify the Historical monument,Charminar,class_3
Name the tallest building in the world.,"Burj Khalifa, UAE",class_3
Who invented the Light Bulb?,Thomas Alva Edison,class_3
In how many hours does earth complete one rotation?,24 hours,class_3
Who wrote the drama “Julius Caesar”?,William Shakespeare,class_3
Which is the highest mountain peak in the world?,Mount Everest,class_3
Who is known as the father of modern computers?,Charles Babbage,class_3
Which part of the computer is its Brain?,CPU,class_3
Name the longest river on earth.,Nile,class_3
Name three vegetables that grow under soil.,"Potato, Tapioca and Ginger",class_3
What is the value of Pi?,3.14,class_3
Which is the most widely spoken language in the world?,Mandarin (Chinese),class_3
Identify the scientist.,Albert Einstein,class_3
How many days are there in a Leap Year?,366,class_3
Name the Largest desert in the world.,Sahara Desert,class_3
Which is the largest island in the world?,Greenland,class_4
What is the name of the sword owned by King Arthur?,Excaliber,class_4
Who is known as “Nightingale of India”?,Sarojini Naidu,class_4
Who is known as the “father of geometry”?,Euclid,class_4
Who wrote the national song of India? (Vande Mataram),Bankim Chandra Chatterjee,class_4
When is National Girl Child Day celebrated in India?,24-Jan,class_4
A leap year has _____ days.,366,class_4
Taj Mahal is situated on the banks of which river?,Yamuna,class_4
Name the largest planet in our solar system,Jupiter,class_4
Our solar system consists of _____ planets,8,class_4
_____ is known as the brain of the computer.,CPU,class_4
